task,policy,success,utility,representation_error,contact_failure,latency_miss,safety_violation,morphology_loss,bottleneck_share,exception_severity,monotonic_scale_gain,scale_saturation,intervention_recovery,data_efficiency,regime_mismatch,weight
t02,data_scaled_foundation,0.507550609327485,0.1406105344555313,0.26796045084314596,0.35614183073140143,0.2634079538561262,0.26265726256081307,0.2834289394459127,0.6012659132559843,0.48655496923575087,0.03080634547598245,0.37244042130950367,0.027729196416093293,0.3105289616065536,0.5754825659529296,2548039680
t02,embodiment_diverse_scaling,0.5749973489375424,0.28006606114713684,0.26093561876654164,0.331195210908887,0.2523746967360877,0.24727002521864672,0.1634173431953882,0.6012659132559843,0.39890021241098367,0.058232502301245194,0.31063455557786607,0.11784787029932507,0.3415277817996771,0.49029544202542635,2548039680
t02,latency_safety_guarded,0.7086882550329968,0.5678031173287525,0.2772124582032024,0.2972355296248802,0.10203499072512177,0.06821603861517937,0.2420810881600761,0.6012659132559843,0.20307678748763897,0.12270605007611743,0.16266921137188264,0.317654528815369,0.33574413607974696,0.2928617300512673,2548039680
t02,oracle_bottleneck_router,0.9987890577023105,1.0,0.21601868916594374,0.02009311266796967,0.010360841618639417,0.0,0.007571391466401759,0.6012659132559843,0.0,0.2018113066666639,0.0,0.6765553637197149,0.4267899768533345,0.0,2548039680
t02,regime_aware_router,0.8805121645923389,0.8797392088715079,0.24117514954685618,0.1316792660835236,0.0940722108423926,0.057302268034654116,0.09799938348962761,0.6012659132559843,0.0963996238388326,0.17107711287038319,0.05705526422994421,0.5360953601403243,0.3882684798392348,0.12207899959329309,2548039680
t02,scale_only_foundation,0.4985414270621524,0.11468440097477359,0.2798686975284499,0.36125576813131355,0.264506051666295,0.26602068631383263,0.29048084719196376,0.6012659132559843,0.5549930739736321,0.023844640768573042,0.38805558815330454,0.020785171202769404,0.30489445980455326,0.5850544455855146,2548039680
t03,contact_instrumented,0.646233486958714,0.43363847964773566,0.2895276111935055,0.13445093352552945,0.21887850890967436,0.22421013567148998,0.25283287986037256,0.622319509421186,0.26612087953830627,0.0998137804225457,0.2191178796715858,0.2624287114039483,0.3289397204929024,0.3708839982317232,2548039680
t03,data_scaled_foundation,0.4925368377577578,0.10983749259103688,0.27829428292280173,0.3545030906025099,0.26078831406093544,0.278053366067434,0.3102675386131,0.622319509421186,0.5035132816087343,0.027145137847338924,0.38632277407220467,0.027635856715581657,0.30637922353034336,0.5955397879643617,2548039680
t03,embodiment_diverse_scaling,0.5648734212229418,0.25985136926941094,0.27061728098826043,0.331527424018804,0.24563539708998602,0.263307377070859,0.17671726197055404,0.622319509421186,0.4099793473115158,0.05619147437653277,0.3200700418606008,0.1259904848002294,0.3381048628091306,0.5039126579615165,2548039680
t03,latency_safety_guarded,0.7009982546920877,0.5530245627945299,0.2864425984878786,0.294873484654736,0.10058436266372012,0.07141992328946765,0.26585910877930435,0.622319509421186,0.21098940879349398,0.12052843392886041,0.1705896248113925,0.32706745821361277,0.3325702638668026,0.3042722582538729,2548039680
